iter	Passed	Remaining
867	28829	11159
868	28863	11126
869	28895	11093
870	28929	11060
871	28961	11026
872	28994	10993
873	29026	10959
874	29060	10926
875	29092	10893
876	29126	10860
877	29158	10826
878	29193	10793
879	29225	10760
880	29259	10727
881	29291	10693
882	29325	10660
883	29358	10627
884	29392	10594
885	29425	10561
886	29459	10528
887	29492	10495
888	29526	10462
889	29559	10428
890	29594	10396
891	29626	10362
892	29659	10329
893	29690	10295
894	29725	10262
895	29757	10229
896	29793	10196
897	29826	10163
898	29859	10130
899	29891	10096
900	29924	10063
901	29956	10029
902	29990	9996
903	30021	9963
904	30057	9930
905	30090	9897
906	30125	9864
907	30158	9831
908	30190	9797
909	30223	9764
910	30259	9732
911	30291	9698
912	30325	9665
913	30357	9632
914	30391	9599
915	30423	9565
916	30458	9532
917	30491	9499
918	30526	9466
919	30559	9433
